2021-11-05 15:17:53	[Main thread]	WARN	Achilles	3	Cohort table not found, will skip analyses 1700 and 1701
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1507' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1507' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1508' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1508' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1508' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1509' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1509' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1509' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1510' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1510' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1510' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1511' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1511' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1511' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1602' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1602' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1602' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1603' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1603' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1603' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1604' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1604' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1604' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1605' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1605' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1605' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1606' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1606' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1606' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1607' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1607' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1607' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1608' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1608' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1608' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:59	[Main thread]	INFO	Achilles	achillesHeel	Beginning single-threaded execution
2021-11-05 15:17:59	[Main thread]	INFO	Achilles	achillesHeel	Generated parallel Heels
2021-11-05 15:18:00	[Main thread]	INFO	Achilles	achillesHeel	Merged scratch Heel tables into staging tables
2021-11-05 15:18:00	[Main thread]	INFO	Achilles	achillesHeel	All Achilles SQL scripts can be found in folder: ~/scripts/achilles/achillesHeel.sql
